Timestamp,EngSpeed,EngTemp,IdleRunning,PetrolLevel,EngForce,EngPower,SleepInd
1970-01-01 00:00:02.300238000,750.0,0.0,Running,1.0,0.0,7.5,
1970-01-01 00:00:02.300484000,750.0,,,,0.0,,
1970-01-01 00:00:02.350240000,4.0,0.0,Running,2.0,375.0,7.5,
1970-01-01 00:00:02.350474000,3.8671391010284424,,,,375.0,,
1970-01-01 00:00:02.400240000,10.0,0.0,Running,3.0,375.0,7.5,
1970-01-01 00:00:02.400474000,10.312044143676758,,,,375.0,,
1970-01-01 00:00:02.405527000,,,,,,,0.0
1970-01-01 00:00:02.450238000,17.0,0.0,Running,4.0,375.0,7.5,
1970-01-01 00:00:02.450470000,16.756534576416016,,,,375.0,,
1970-01-01 00:00:02.500240000,23.0,0.0,Running,5.0,375.0,7.5,
1970-01-01 00:00:02.500472000,23.200599670410156,,,,375.0,,
1970-01-01 00:00:02.550238000,30.0,0.0,Running,6.0,375.0,7.5,
1970-01-01 00:00:02.550470000,29.644235610961914,,,,375.0,,
1970-01-01 00:00:02.600240000,36.0,0.0,Running,7.0,375.0,7.5,
1970-01-01 00:00:02.600472000,36.08742904663086,,,,375.0,,
1970-01-01 00:00:02.650238000,43.0,0.0,Running,8.0,375.0,7.5,
1970-01-01 00:00:02.650468000,42.530174255371094,,,,375.0,,
1970-01-01 00:00:02.700238000,50.0,0.0,Running,9.0,450.0,9.0,
1970-01-01 00:00:02.700470000,50.378684997558594,,,,450.0,,
1970-01-01 00:00:02.705525000,,,,,,,0.0
1970-01-01 00:00:02.750242000,59.0,0.0,Running,10.0,525.0,10.5,
1970-01-01 00:00:02.750478000,58.92972946166992,,,,525.0,,
1970-01-01 00:00:02.800236000,69.0,0.0,Running,10.0,525.0,10.5,
1970-01-01 00:00:02.800468000,68.88633728027344,,,,525.0,,
1970-01-01 00:00:02.850236000,80.0,0.0,Running,11.0,600.0,12.0,
1970-01-01 00:00:02.850478000,80.24840545654297,,,,600.0,,
1970-01-01 00:00:02.900234000,92.0,0.0,Running,11.0,675.0,13.5,
1970-01-01 00:00:02.900466000,92.31269073486328,,,,675.0,,
1970-01-01 00:00:02.950236000,106.0,0.0,Running,12.0,675.0,13.5,
